,p,x1,x2,block
154,0.6,150.0,100.0,block5
155,0.5,200.0,100.0,block5
156,0.4,150.0,100.0,block5
157,0.4,50.0,25.0,block5
158,0.5,50.0,25.0,block5
159,0.6,800.0,0.0,block5
160,0.4,200.0,0.0,block5
161,0.6,150.0,0.0,block5
162,0.4,75.0,50.0,block5
163,0.6,75.0,0.0,block5
164,0.4,200.0,100.0,block5
